Year,Month,Day,Hour,Minute,Car Data,Temperature [C],Pressure [hPa],Humidity [%],Wind Speed [km/h],Wind Direction [deg],Cloud Cover [%],Precipitation Type,Precipitation Amount [cm],CO2 ppm,Std dev CO2,No. CO2 Measurements
2016,12,1,0,0,1287.0,8.78,1009,100,33.480000000000004,110,90,rain,12.3,416.428,1.79253,1973
2016,12,1,1,0,715.0,8.8,1007,100,29.52,90,90,rain,12.3,415.471,1.47538,2122
2016,12,1,2,0,454.0,8.78,1004,100,29.52,90,90,rain,11.0,415.997,1.43417,2122
2016,12,1,3,0,472.0,8.99,1002,100,22.32,90,90,rain,17.7,417.705,1.72668,2120
2016,12,1,4,0,1252.0,9.2,999,100,20.52,80,90,rain,10.3,425.826,3.85068,2122
2016,12,1,5,0,3679.0,9.5,997,100,14.76,110,90,rain,12.5,427.903,2.31636,2123
2016,12,1,6,0,8244.0,10.66,996,100,7.5600000000000005,240,90,rain,4.0,426.723,3.60224,2123
2016,12,1,7,0,11958.0,10.75,996,100,20.52,240,90,rain,2.0,428.811,2.79086,2123
2016,12,1,8,0,11984.0,9.44,997,96,27.720000000000002,280,90,rain,3.0,430.348,4.20668,1976
2016,12,1,9,0,9900.0,9,997,92,18.36,290,40,None,0,427.395,2.70307,2117
2016,12,1,10,0,8057.0,9.64,998,86,20.52,290,20,None,0,425.139,3.02593,2123
2016,12,1,11,0,7358.0,11.17,999,76,24.12,270,20,None,0,421.279,2.13119,2122
2016,12,1,12,0,7537.0,12.33,999,66,29.52,280,20,None,0,420.772,2.38589,2124
2016,12,1,13,0,7876.0,13.09,999,54,31.680000000000003,280,20,None,0,421.01,2.49685,2122
2016,12,1,14,0,9678.0,12.96,999,52,27.720000000000002,290,20,None,0,422.481,2.46311,2123
2016,12,1,15,0,10527.0,12.08,999,48,33.480000000000004,260,20,None,0,428.74,4.58703,2119
2016,12,1,16,0,11228.0,10.77,1000,48,40.68000000000001,270,20,None,0,429.926,4.02272,1976
2016,12,1,17,0,11077.0,10.08,1001,51,33.480000000000004,280,40,None,0,431.824,4.10665,2124
2016,12,1,18,0,10080.0,9.76,1002,53,25.92,270,75,None,0,431.387,2.91303,2121
2016,12,1,19,0,8783.0,9.01,1002,53,25.92,280,90,None,0,429.805,2.56672,2119
2016,12,1,20,0,6197.0,8.8,1003,55,20.52,270,40,None,0,427.886,2.4118,2118
2016,12,1,21,0,5483.0,7.69,1003,58,29.52,260,20,None,0,427.592,2.02803,2123
2016,12,1,22,0,3755.0,7,1004,60,31.680000000000003,270,20,None,0,429.227,2.45724,2121
2016,12,1,23,0,2726.0,6.11,1005,55,27.720000000000002,280,20,None,0,428.533,2.372,2123
2016,12,2,0,0,1676.0,5.89,1005,59,16.56,270,20,None,0,430.132,1.88543,1973
